name,core,price,mark
AMD A10 PRO-7850B APU,2,148.02,342
AMD A10-4600M APU,2,78.02,191.6
AMD A10-5700 APU,2,59.95,2747
AMD A10-5750M APU,4,94.02 ,1953
AMD A10-5800B APU,2,44.99,293.6
AMD A10-5800K APU,2,46.07,2963
AMD A10-6700 APU,4,43.96 ,3116
AMD A10-6700T APU,2,147.61,2311
AMD A10-6790K APU,2,36.11 ,306
AMD A10-6800B APU,2,128.02,2944
AMD A10-6800K APU,2,51.74 ,3181
AMD A10-7700K APU,2,46.21 ,3156
AMD A10-7800 APU,2,42.01 ,3178
AMD A10-7850K APU,2,51.73 ,3376
AMD A10-7860K,2,56.37,3299
AMD A10-7870K,2,71.96 ,3445
AMD A10-7890K,2,139.97 ,3482
AMD A10-9700,4,129.99 ,3531
AMD A10-9700E,4,220.00 ,3047
AMD A12-9800,2,101.99 ,3480
AMD A12-9800E,4,670.15,3447
AMD A4-3300 APU,2,56.61 ,950
AMD A4-3300M APU,2,29.99,706
AMD A4-3305M APU,2,20.81,718
AMD A4-3320M APU,2,39,640
AMD A4-3400 APU,2,79.95 ,1077
AMD A4-3420 APU,2,136,1080
AMD A4-4000 APU,1,19.89,1170
AMD A4-4020 APU,2,105.37 ,1251
AMD A4-4300M APU,1,29.86,1006
AMD A4-5300 APU,2,26.95,1365
AMD A4-5300B APU,2,25.95,1235
AMD A4-6300 APU,1,42.02 ,1430
AMD A4-6300B APU,1,27.95,1328
AMD A4-6320 APU,1,69.99,1543
AMD A4-7300 APU,1,18.64 ,1520
AMD A6-3400M APU,4,24.45,1192
AMD A6-3410MX APU,4,3.99,1222
AMD A6-3500 APU,3,74.93 ,1379
AMD A6-3600 APU,4,24.95,1596
AMD A6-3620 APU,4,22.49,1860
AMD A6-3650 APU,4,128,2005
AMD A6-3670 APU,4,176.59,20.71
AMD A6-4400M APU,1,27,989
AMD A6-5350M APU,2,33.12 ,11.41
AMD A6-5400B APU,1,28.94,1439
AMD A6-5400K APU,1,52.02 ,125.9
AMD A6-6400K APU,1,51.72,1451
AMD A6-6420K APU,2,149.99,1539
AMD A6-9500,2,99.88 ,1870
AMD A6-9500E,2,57.79 ,1747
AMD A8-3500M APU,4,59.95 ,1430
AMD A8-3510MX APU,4,77.11,1622
AMD A8-3520M APU,4,55,1401
AMD Athlon 64 3000+,1,20,303
AMD Athlon 64 3100+,1,NA,484
AMD Athlon 64 3200+,1,149.95,301
AMD Athlon 64 3300+,1,NA,375
AMD Athlon 64 3400+,1,99.95,317
AMD Athlon 64 3500+,1,79.95,396
AMD Athlon 64 3700+,1,89.95,394
AMD Athlon 64 3800+,1,131.01,292
AMD Athlon 64 4000+,1,99.95,340
AMD Athlon 64 FX-55,1,65,404
AMD Athlon 64 FX-62 Dual Core,2,250.00 ,943
AMD Athlon 64 FX-74,2,499.5,972
AMD Athlon 64 X2 Dual Core 3600+,2,68.25,61.1
AMD Athlon 64 X2 Dual Core 4200+,2,109.95,679
AMD Athlon 64 X2 Dual Core 4400+,2,298.95,66.6
AMD Athlon 64 X2 Dual Core 4600+,2,349.95,718
AMD Athlon 64 X2 Dual Core 4800+,2,149.95,652
AMD Athlon 64 X2 Dual Core 5000+,2,331.49,773
AMD Athlon 64 X2 Dual Core 5200+,2,60,84.5
AMD Athlon 64 X2 Dual Core 5400+,2,52.99,907
AMD Athlon 64 X2 Dual Core 5600+,2,107.21,911
AMD Athlon 64 X2 Dual Core 5800+,2,29.95,79.7
AMD Athlon 64 X2 Dual Core 6000+,2,38.5,937
AMD Athlon 64 X2 Dual Core 6400+,2,249.95,967
AMD Athlon 64 X2 Dual-Core TK-55,2,72.74,51.8
AMD Athlon 64 X2 QL-65,2,22,60.9
AMD Athlon 7550 Dual-Core,2,14.95,859
AMD Athlon 7750 Dual-Core,2,79.99 ,959
AMD Athlon 7850 Dual-Core,2,99.99 ,103.7
AMD Athlon Dual Core 4450B,2,31,71.9
AMD Athlon Dual Core 4450e,2,14.48,70.5
AMD Athlon Dual Core 4850e,2,39,78.3
AMD Athlon Dual Core 5000B,2,95,835
AMD Athlon Dual Core 5050e,2,60,80.9
